Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
APLAPOLLO.NS,5.5769168632266,4.79868578255675,0,Basic Materials,Steel,12.668422,25.187680801956695,0,27.278984431067023,70.4168443240269,15.074,0.42,0,0
APLLTD.NS,2.9984259223711005,5.761998718337885,0,Healthcare,Drug Manufacturers - Specialty & Generic,3.740484,40.83915690002742,1,29.681068291344015,33.273734971595246,24.232,0.501,0,0
APOLLO.NS,,,0,Industrials,Aerospace & Defense,10.350975,54.04051592290881,0,1.6908812587697732,121.22081248279319,55.195,0.771,0,0
APOLLOHOSP.NS,,,0,Healthcare,Medical Care Facilities,12.153492,30.419491901592718,0,100.5598679450495,69.03847570477815,90.886,0.281,0,0
APOLLOPIPE.NS,-8.597166398713826,-6.282430453879942,0,Industrials,Building Products & Equipment,2.3753297,-257.63499120163647,0,7.111983078427827,60.10981680998361,11.583,0.511,0,0
APOLLOTYRE.NS,18.897588474788602,18.365430634019653,0,Consumer Cyclical,Auto Parts,2.024568,32.03062060615606,1,17.65577526290496,20.8,29.869,0.45,0,0
APOLSINHOT.NS,3.927835913733446,262.736302467158,0,Industrials,Specialty Business Services,2.2825365,1.3988441105920764,0,29.706583602522688,43.135219355590365,55.272,-0.733,0,0
APTECHT.NS,-15.352002136043302,-10.0129651333138,0,Consumer Defensive,Education & Training Services,3.665039,-25.44791234032316,0,3.289351863824681,5.43,2.691,0.262,0,0
ARCHIDPLY.NS,,-12.54379529915784,0,Basic Materials,Lumber & Wood Production,1.9458919,33.64619671906053,1,-3.704002013591744,-27.32179940201142,188.881,0.067,0,0
ARCHIES.NS,61.38754470860509,-12.134628150495727,0,Consumer Cyclical,Specialty Retail,0.5169267,-46.48683081550345,0,-0.43259563293984055,-46.48683081550345,36.988,0.383,0,0
ARENTERP.NS,0.17045008907662917,-10.794516995898354,0,Basic Materials,Other Industrial Metals & Mining,0.7024975,30.52503093096155,0,0.7557185599845575,65.61966666666667,,0.0,0,0
ARIES.NS,,,0,Basic Materials,Agricultural Inputs,1.4264537,183.57765609545956,1,26.1627307890467,12.137494459597681,16.57,-0.05,0,0
ARIHANTCAP.NS,4.141001965806873,-97.59122558184514,0,Financial Services,Capital Markets,1.942557,17.651675672503675,1,5.638373382766802,12.727074836747812,25.432,-0.217,1,0
ARIHANTSUP.NS,,,0,Real Estate,Real Estate - Development,7.406872,13.948029797161027,0,13.283818853255587,28.918641863732795,195.444,0.548,0,0
ARMANFIN.NS,,,0,Financial Services,Credit Services,1.8330598,24.55976614439522,0,49.63275732245489,30.790149136215945,140.931,0.08,0,0
AROGRANITE.NS,,,0,Industrials,Building Products & Equipment,0.33536583,-257.63499120163647,0,-4.197908496732026,-9.302251354549417,85.896,0.248,0,0
ARROWGREEN.NS,,,0,Consumer Cyclical,Packaging & Containers,5.2894444,25.873201584456336,1,41.84147349863135,15.769043124678252,0.353,0.133,0,0
ARSHIYA.NS,317.9616659446989,-63.33191077598601,0,Industrials,Integrated Freight & Logistics,-0.022311246,17.761163324158403,1,-106.97578089844995,-0.025145878603621177,,0.83,0,0
ARSSINFRA.NS,,,0,Industrials,Infrastructure Operations,-0.7298957,1.7596917696739192,1,-3.4152959802972997,-15.940053311356348,,0.988,0,0
ARVEE.NS,-15.178405686512015,-15.247260936490914,0,Basic Materials,Specialty Chemicals,6.312256,36.470734724695,0,1.991138838475499,89.24038674070917,3.222,0.7,0,0
ARVIND.NS,12.10791517950871,5.750496401092081,0,Consumer Cyclical,Textile Manufacturing,2.4654996,-84.48168306527056,0,13.501363420391264,21.3,40.354,-0.075,0,0
ARVINDFASN.NS,-21.67445774121167,-283.8041853512705,0,Consumer Cyclical,Apparel Manufacturing,6.296034,-14.603071565408019,1,-2.562044233712451,-176.4996849194729,99.338,-0.302,0,0
ARVSMART.NS,,,0,Real Estate,Real Estate - Development,5.317786,13.948029797161027,0,24.15205010000328,16.62,35.307,0.153,0,0
ASAHIINDIA.NS,1.9207900690295265,-1.2750004128887356,0,Consumer Cyclical,Auto Parts,6.764797,32.03062060615606,0,15.272943782138302,48.612108483519386,102.022,0.289,0,0
ASAHISONG.NS,0.51008285295151,20.594876396603773,0,Basic Materials,Specialty Chemicals,1.9238862,36.470734724695,1,16.759223910479925,24.822151802618123,59.197,0.309,0,0
ASAL.NS,-16.9811492081941,82.8412354701433,0,Consumer Cyclical,Auto Parts,91.998184,32.03062060615606,0,10.576447391644184,47.88469901529655,1702.144,0.298,0,0
ASALCBR.NS,-3.1634392572385925,-4.1044929953213485,0,Consumer Defensive,Beverages - Wineries & Distilleries,3.8415005,38.042035174174714,1,45.03318553918315,24.537460247810916,19.513,0.09,0,0
ASHAPURMIN.NS,,,0,Basic Materials,Other Industrial Metals & Mining,3.1099489,30.52503093096155,1,30.96668035088548,13.094719724725188,95.125,0.507,0,0
ASHIANA.NS,,,0,Real Estate,Real Estate - Development,4.320262,13.948029797161027,0,1.8144740114399402,17.2,36.145,0.223,0,0
ASHIMASYN.NS,,,0,Consumer Cyclical,Textile Manufacturing,1.9433951,-84.48168306527056,1,-0.013043931962850882,-2326.7524,40.742,0.296,0,0
ASHOKA.NS,,,0,Industrials,Engineering & Construction,1.5995928,9.016105709649487,1,60.34783691118043,3.6975641782888764,47.793,0.459,1,0
ASHOKLEY.NS,,,0,Industrials,Farm & Heavy Construction Machinery,5.808216,22.963909439700906,1,10.57983439719218,7.75,315.321,0.336,0,0
ASIANENE.NS,3.2073632678377595,-4.918728064200126,0,Energy,Oil & Gas Equipment & Services,3.468004,7.503639587648968,0,9.422774682071873,32.84064518583589,6.033,0.43,0,0
ASIANHOTNR.NS,,,0,Consumer Cyclical,Lodging,2.5975277,34.09333187721774,1,96.26159027820616,3.639042311555378,209.675,0.4,0,0
ASIANPAINT.NS,5.251982300359337,6.632924000233759,0,Basic Materials,Specialty Chemicals,11.101112,36.470734724695,1,38.250396535890765,28.24,11.418,0.372,0,0
ASIANTILES.NS,,-18.068294493344485,0,Industrials,Building Products & Equipment,0.63436604,-257.63499120163647,0,1.8729301029170717,18.85,19.734,0.275,0,0
ASPINWALL.NS,16.52410575427683,-13.800515907136715,0,Consumer Defensive,Farm Products,1.145202,14.460399135399621,0,18.584626561562693,15.21149747419133,36.028,-0.049,0,0
ASTEC.NS,-62.490123371608284,-47.836877664481065,0,Basic Materials,Agricultural Inputs,6.7759,183.57765609545956,1,-68.71125814577236,-11.799376432315896,235.96,0.023,0,0
ASTERDM.NS,,,0,Healthcare,Medical Care Facilities,8.383108,30.419491901592718,1,5.933093694362854,9.41,55.259,0.073,0,0
ASTRAL.NS,,,0,Industrials,Building Products & Equipment,11.343487,-257.63499120163647,0,19.498576030715995,29.93,6.315,0.421,0,0
ASTRAMICRO.NS,79.90395713250867,34.7172643309278,0,Technology,Communication Equipment,9.784873,22.58521439572265,0,16.168181578808785,70.0202428134413,38.554,0.149,0,0
ASTRAZEN.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,31.77127,40.83915690002742,0,46.29600256,211.46534168499926,4.638,0.03,0,0
ASTRON.NS,,,0,Basic Materials,Paper & Paper Products,0.96202534,9.884720251192684,1,-12.195720258064517,-1.5579235664606277,85.4,0.069,0,0
ATGL.NS,7.116705928543382,8.639093935446517,0,Utilities,Utilities - Regulated Gas,17.775078,62.18422389391291,0,5.950209176484992,114.27329356539892,43.596,0.954,0,0
ATUL.NS,-4.9784033363121845,-4.8137613436272515,0,Basic Materials,Specialty Chemicals,3.879611,36.470734724695,0,164.36835030466887,44.886986979697326,3.563,0.264,0,0
ATULAUTO.NS,-46.68203688853247,-87.41806263656228,0,Consumer Cyclical,Auto Manufacturers,3.6521194,36.50255398439733,0,7.794229459520815,61.26327207582062,24.562,-0.266,0,0
